Date,Order ID,Customer Name,Customer Segment,City,State,Product Category,Product Sub-Category,Units Sold,Unit Cost,Unit Price,Total Cost,Total Sales,Margin,Margin %
2024-07-24,ORD-1001,Karen White,Business,Denver,CO,Furniture,Office Chairs,36,120.38,153.59,4333.68,5529.24,1195.56,21.62%
2024-01-18,ORD-1002,Maria Watson,Small Business,Dallas,TX,Office Supplies,Binders,86,124.34,141.99,10693.24,12211.14,1517.9,12.43%
2024-01-12,ORD-1003,Diana Chen,Small Business,New Orleans,LA,Electronics,Monitors,16,158.57,208.37,2537.12,3333.92,796.8,23.9%
2024-06-13,ORD-1004,Mike Chen,Small Business,Los Angeles,CA,Furniture,Cabinets,82,295.76,561.38,24252.32,46033.16,21780.84,47.32%
2024-05-10,ORD-1005,Paul Carter,Small Business,New York,NY,Furniture,Lamps,99,175.14,265.36,17338.86,26270.64,8931.78,34.0%
2024-10-26,ORD-1006,David Anderson,Small Business,Cleveland,OH,Electronics,Smartwatches,31,459.2,657.83,14235.2,20392.73,6157.53,30.19%
2024-09-05,ORD-1007,Mike Carter,Enterprise,Chicago,IL,Electronics,Headphones,22,386.16,753.99,8495.52,16587.78,8092.26,48.78%
2024-10-05,ORD-1008,Daniel Adams,Enterprise,San Diego,CA,Office Supplies,Pens,93,299.0,356.3,27807.0,33135.9,5328.9,16.08%
2024-05-18,ORD-1009,Laura Green,Consumer,Philadelphia,PA,Electronics,Printers,68,100.73,151.42,6849.64,10296.56,3446.92,33.48%
2024-01-10,ORD-1010,Michael White,Small Business,Seattle,WA,Furniture,Desks,63,554.9,1057.22,34958.7,66604.86,31646.16,47.51%
2024-01-30,ORD-1011,Jessica Green,Consumer,San Francisco,CA,Office Supplies,Notebooks,89,254.51,293.6,22651.39,26130.4,3479.01,13.31%
2024-07-04,ORD-1012,Linda Gonzalez,Business,New York,NY,Electronics,Smartphones,35,4.77,5.01,166.95,175.35,8.4,4.79%
2024-09-20,ORD-1013,Daniel Johnson,Small Business,Philadelphia,PA,Electronics,Headphones,85,571.03,1097.21,48537.55,93262.85,44725.3,47.96%
2024-06-08,ORD-1014,Jessica Brown,Small Business,Cleveland,OH,Furniture,Sofas,95,516.05,542.81,49024.75,51566.95,2542.2,4.93%
2024-12-23,ORD-1015,Maria Frank,Small Business,Los Angeles,CA,Furniture,Tables,43,524.74,967.29,22563.82,41593.47,19029.65,45.75%
2024-10-13,ORD-1016,Sarah Johnson,Business,Kansas City,MO,Electronics,Headphones,27,452.72,683.29,12223.44,18448.83,6225.39,33.74%
2024-03-28,ORD-1017,Michael White,Business,Charlotte,NC,Office Supplies,Paper,60,359.91,643.14,21594.6,38588.4,16993.8,44.04%
2024-08-25,ORD-1018,James Smith,Consumer,Minneapolis,MN,Office Supplies,Envelopes,65,9.58,17.03,622.7,1106.95,484.25,43.75%
2024-03-27,ORD-1019,Linda Davis,Enterprise,Indianapolis,IN,Electronics,Printers,13,412.65,685.6,5364.45,8912.8,3548.35,39.81%
